4
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Тоглоомын талбай (2 хэсэгт)	Цахирт Ану ХХК	 93,000,000.00
2	Гэрэлтүүлэг	Эгэл-Мон ХХК	 18,544,000.00
	Нийт
2014
1	Автобусны буудал	ХХК	 4,500,000.00
2	Автобусны буудал	ХХК	 4,500,000.00
3	Худаг (зөөврийн)	Монрубин ХХК	 38,000,000.00
4	Барилга, дэд бүтцийн сайжруулалт (шилэн кабел)		 54,408,020.00
	Нийт		 101,408,020.00
2015
1	Тохижилт (авто зам дагуух)	Баялаг арвижуулах 3-н эрдэнэ бүлэг	 17,607,844.00
	Нийт		 17,607,844.00
	БҮГД ДҮН		 230,559,864.00
